"Gene.stable.ID","HGNC.symbol"
"ENSMUSG00000064360","MT-ND3"
"ENSMUSG00000064367","MT-ND5"
"ENSMUSG00000064345","MT-ND2"
"ENSMUSG00000064341","MT-ND1"
"ENSMUSG00000064358","MT-CO3"
"ENSMUSG00000064357","MT-ATP6"
"ENSMUSG00000064351","MT-CO1"
"ENSMUSG00000064363","MT-ND4"
"ENSMUSG00000064368","MT-ND6"
"ENSMUSG00000064370","MT-CYB"
"ENSMUSG00000064356","MT-ATP8"
"ENSMUSG00000064354","MT-CO2"
"ENSMUSG00000065947","MT-ND4L"
"ENSMUSG00000024175","MAFIP"
"ENSMUSG00000069044","USP9Y"
"ENSMUSG00000100194","TGIF2LY"
"ENSMUSG00000094511","RBMY1A1"
"ENSMUSG00000094511","RBMY1J"
"ENSMUSG00000094511","RBMY1B"
"ENSMUSG00000094511","RBMY1D"
"ENSMUSG00000094511","RBMY1F"
"ENSMUSG00000094511","RBMY1E"
"ENSMUSG00000010592","DAZ4"
"ENSMUSG00000010592","DAZ3"
"ENSMUSG00000010592","DAZ1"
"ENSMUSG00000010592","DAZ2"
"ENSMUSG00000093987","RBMY1A1"
"ENSMUSG00000093987","RBMY1J"
"ENSMUSG00000093987","RBMY1B"
"ENSMUSG00000093987","RBMY1D"
"ENSMUSG00000093987","RBMY1F"
"ENSMUSG00000093987","RBMY1E"
"ENSMUSG00000100133","TGIF2LY"
"ENSMUSG00000025246","TBL1Y"
"ENSMUSG00002076961","RNU6-1334P"
"ENSMUSG00000095948","RBMY1A1"
"ENSMUSG00000095948","RBMY1J"
"ENSMUSG00000095948","RBMY1B"
"ENSMUSG00000095948","RBMY1D"
"ENSMUSG00000095948","RBMY1F"
"ENSMUSG00000095948","RBMY1E"
"ENSMUSG00000079509","ZFY"
"ENSMUSG00000064982","RNU2-57P"
"ENSMUSG00000095852","RBMY1A1"
"ENSMUSG00000095852","RBMY1J"
"ENSMUSG00000095852","RBMY1B"
"ENSMUSG00000095852","RBMY1D"
"ENSMUSG00000095852","RBMY1F"
"ENSMUSG00000095852","RBMY1E"
"ENSMUSG00000102053","RBMY1A1"
"ENSMUSG00000102053","RBMY1J"
"ENSMUSG00000102053","RBMY1B"
"ENSMUSG00000102053","RBMY1D"
"ENSMUSG00000102053","RBMY1F"
"ENSMUSG00000102053","RBMY1E"
